recommendation_rating,explanation_rating,authenticity_rating,asin,user_id,recommender
29,79,100,B0091JQH7Q,189cd91e-ffd9-43f6-a432-fa903142bde7,bert
1,50,100,B00000DTZA,189cd91e-ffd9-43f6-a432-fa903142bde7,bert
40,74,100,B0000037AG,189cd91e-ffd9-43f6-a432-fa903142bde7,bert
22,80,51,B00R4MA3FY,189cd91e-ffd9-43f6-a432-fa903142bde7,bert
62,82,82,B00000ADZQ,189cd91e-ffd9-43f6-a432-fa903142bde7,bert
1,1,1,B00004SUL9,189cd91e-ffd9-43f6-a432-fa903142bde7,bert
79,49,88,B01ARYG0JS,189cd91e-ffd9-43f6-a432-fa903142bde7,bert
1,1,1,B0013PVGM2,189cd91e-ffd9-43f6-a432-fa903142bde7,bert
1,1,1,B003XIO6SS,189cd91e-ffd9-43f6-a432-fa903142bde7,bert
67,71,83,B00JX4IDL2,5c676900-f6be-490c-b220-d9f86a49432a,bert
69,32,76,B00000291J,5c676900-f6be-490c-b220-d9f86a49432a,bert
59,63,74,B00076ONU0,5c676900-f6be-490c-b220-d9f86a49432a,bert
71,92,95,B000P6R6JW,5c676900-f6be-490c-b220-d9f86a49432a,bert
69,77,95,B001RXB4DG,5c676900-f6be-490c-b220-d9f86a49432a,bert
26,25,100,B003SPJ50U,5c676900-f6be-490c-b220-d9f86a49432a,bert
94,72,57,B000003JAG,5c676900-f6be-490c-b220-d9f86a49432a,bert
83,59,56,B001DZN5WG,5c676900-f6be-490c-b220-d9f86a49432a,bert
75,22,62,B000BN3V8O,5c676900-f6be-490c-b220-d9f86a49432a,bert
59,89,67,B000000SD4,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
67,84,62,B0000041MQ,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
63,73,88,B0000041MT,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
46,60,68,B00005IB57,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
66,66,80,B00000B9MR,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
1,1,1,B000002RZ5,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
73,86,87,B000002RSC,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
68,63,81,B00000IIXM,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
46,36,75,B000005GMZ,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
1,1,1,B00AY1T1XC,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
64,30,66,B000MGB3DK,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
1,1,1,B00BDSRHB8,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
34,76,93,B01B1W2J9A,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
36,31,100,B000HKD9JW,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
65,100,100,B0007SME0E,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
1,1,1,B00151HZYM,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
83,79,100,B000F3A7SW,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
69,65,90,B000002ZXV,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
1,1,1,B00000073P,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
1,1,1,B00001ZT6M,d230fb4c-ff96-46df-ba4b-3a4729342db5,bert
